;nomeCientifico;nomePopular;familia;categoria;clima;origem;altura;luminosidade;cicloDeVida
395;Hebe speciosa;Verônica, Hebe;Scrophulariaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Mediterrâneo, Oceânico, Subtropical, Tropical;Nova Zelândia, Oceania;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
396;Hedera canariensis;Hera-da-algéria, Hedera, Hera, Hereira;Araliaceae;Forrações à Meia Sombra, Forrações ao Sol Pleno, Trepadeiras;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Açores, África, Europa, Ilhas Canárias;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
397;Hedera helix;Hera, Aradeira, Hedra, Hera-dos-muros, Hera-inglesa, Hera-trepadeira, Hera-verdadeira, Heradeira, Hereira;Araliaceae;Folhagens, Forrações à Meia Sombra, Forrações ao Sol Pleno, Trepadeiras;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;África, Ásia, Europa, Ilhas Canárias;9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
398;Hedychium chrysoleucum;Lírio-amarelo-do-brejo, Lírio-do-brejo, Lírio-do-brejo-amarelo, Gengibre-amarelo;Zingiberaceae;Arbustos, Arbustos Tropicais, Plantas Aquáticas, Plantas Palustres;Equatorial, Oceânico, Subtropical, Tropical;Ásia;1.2 a 1.8 metros;Sol Pleno;Perene
399;Hedychium coccineum;Gengibre-vermelho, Jasmim-vermelho;Zingiberaceae;Arbustos, Plantas Aquáticas, Plantas Palustres;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Himalaia, Índia;1.2 a 1.8 metros;Sol Pleno;Perene
400;Hedychium coronarium;Gengibre-branco, Borboleta, Jasmim-borboleta, Lágrima-de-moça, Lágrima-de-vênus, Lírio-branco, Lírio-do-brejo;Zingiberaceae;Arbustos, Plantas Aquáticas, Plantas Palustres;Equatorial, Subtropical, Tropical;Ásia;1.2 a 1.8 metros;Sol Pleno;Perene
401;Hedychium gardnerianum;Gengibre-de-kahili, Conteira, Gengibre-amarelo, Líro-do-brejo-amarelo;Zingiberaceae;Arbustos, Plantas Aquáticas, Plantas Palustres;Equatorial, Subtropical, Temperado, Tropical;Ásia, Himalaia, Índia;1.2 a 1.8 metros, 1.8 a 2.4 metros;Sol Pleno;Perene
402;Helianthus annuus;Girassol, Mirassol;Asteraceae;Flores Anuais;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América Central, América do Norte;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Sol Pleno;Anual
403;Helichrysum petiolatum;Gnafálio, Cotonaria, Sempre-noiva-das-floristas;Asteraceae;Folhagens, Forrações à Meia Sombra;Subtropical, Tropical;África, África do Sul;0.3 a 0.4 metros;Meia Sombra;Perene
404;Heliconia bihai;Pássaro-de-fogo, Bananeira-silvestre, Caetê-vermelho, Helicônia, Pacova-branca, Tracoá;Heliconiaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;América do Sul;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
405;Heliconia psittacorum;Helicônia-papagaio, Caetezinho, Planta-papagaio, Tracoá;Heliconiaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra;Perene
406;Heliconia rostrata;Helicônia, Bananeira-do-brejo, Bananeira-ornamental, Caetê, Papagaio;Heliconiaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;América do Sul, Bolívia, Brasil, Colômbia, Equador, Guiana, Guiana Francesa, Peru, Suriname, Venezuela;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
407;Heliconia velloziana;Caeté, Bananeirinha, Caetê, Helicônia, Helicônia-vermelha;Heliconiaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;América do Sul, Brasil;1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
408;Hemerocallis x hybrida;Hemerocale, Hemerocális, Lírio, Lírio-amarelo, Lírio-de-são-josé, Lírio-de-um-dia;Hemerocallidaceae;Bulbosas, Flores Perenes;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Europa, Japão, Sibéria;0.4 a 0.6 metros, 0.6 a 0.9 metros;Sol Pleno;Perene
409;Hemigraphis alternata;Hera-roxa, Rubrastilis;Acanthaceae;Folhagens, Forrações à Meia Sombra, Forrações ao Sol Pleno;Oceânico, Subtropical, Tropical;Ásia, Índia, Indonésia, Java, Malásia;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
410;Heuchera sp;Heuchera, ;Saxifragaceae;Folhagens, Forrações à Meia Sombra, Forrações ao Sol Pleno, Gramados e Forrações;Mediterrâneo, Oceânico, Subtropical, Temperado;América do Norte, Canadá, Estados Unidos;0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
411;Hibiscus moscheutos;Hibisco, Rosa-malva;Malvaceae;Arbustos, Cercas Vivas, Flores, Flores Perenes, Plantas Aquáticas, Plantas Palustres;Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América do Norte, Canadá, Estados Unidos;0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
412;Hibiscus mutabilis;Rosa-louca, Amor-de-homem, Amor-dos-homens, Aurora, Malva-rosa, Mimo-de-vênus, Papoila, Papoula-de-duas-cores, Rosa-branca, Rosa-de-jericó, Rosa-de-são-francisco, Rosa-paulista;Malvaceae;Arbustos, Árvores, Árvores Ornamentais, Cercas Vivas;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, China;1.2 a 1.8 metros, 1.8 a 2.4 metros;Sol Pleno;Perene
413;Hibiscus rosa-sinensis;Hibisco, Graxa-de-estudante, Hibisco-da-china, Hibisco-tropical, Mimo-de-vênus;Malvaceae;Arbustos, Arbustos Tropicais, Cercas Vivas, Flores Perenes;Equatorial, Oceânico, Subtropical, Temperado, Tropical;Ásia;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
414;Hibiscus sabdariffa;Vinagreira, Hibisco, Hibiscus, Rosela, Rosélia, Groselha, Groselha-de-flor-roxa, Graxa-de-estudante, Azedinha, Azeda-da-guiné, Quiabo-azedo, Caruru-azedo, Caruru-da-guiné, Quiabo-de-angola, Quiabo-róseo, Quiabo-roxo, Quiabo-azedo, João-gome, Agio-de-guiné, Flor-de-jamaica, Jamaica, Husa, Cardadé, Rosa-da-jamaica, Chá-da-jamaica, Pampulha, Pampola, Agrião-de-guiné, Papoula-de-duas-cores;Malvaceae;Arbustos, Arbustos Tropicais, Cercas Vivas, Flores, Flores Anuais, Flores Perenes, Folhas e Flores, Medicinal, Plantas Hortícolas;Equatorial, Subtropical, Tropical;Ásia, Himalaia, Índia;1.2 a 1.8 metros;Sol Pleno;Anual, Bienal, Perene
415;Hibiscus schizopetalus;Hibisco-crespo, Lanterna-japonesa, Mimo-crespo;Malvaceae;Arbustos, Arbustos Tropicais, Trepadeiras;Equatorial, Oceânico, Subtropical, Tropical;África;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
416;Hibiscus syriacus;Rosa-de-sarom, Altéia-arbustiva, Hibisco-colunar, Hibisco-da-síria, Mimo, Rosa-da-síria, Rosa-de-sharão;Malvaceae;Arbustos, Arbustos Tropicais, Cercas Vivas, Flores Perenes;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Sol Pleno;Perene
417;Hippeastrum hybridum;Amarílis, Açucena, Flor-da-imperatriz;Amaryllidaceae;Bulbosas, Flores Perenes;Equatorial, Oceânico, Subtropical, Tropical;América Central, América do Norte, América do Sul, México;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
418;Holmskioldia sanguinea;Chapéu-chinês, Chapéu-chinês-amarelo, Chapéu-chinês-vernelho, Chapéu-de-mandarim, Holmskioldia-vermelha;Verbenaceae;Arbustos, Cercas Vivas, Trepadeiras;Continental, Mediterrâneo, Subtropical, Temperado;Ásia, Himalaia;2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
419;Homalocladium platycladum;Fita-de-moça, Solitária;Polygonaceae;Folhagens;Equatorial, Oceânico, Subtropical, Tropical;Ilhas Salomão, Nova Guiné, Oceania;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
420;Hosta spp;Hosta, Funquia;Asparagaceae;Folhagens, Forrações à Meia Sombra, Gramados e Forrações, Plantas Palustres, Plantas Tóxicas;Mediterrâneo, Subtropical, Temperado;Ásia, China, Coréia do Norte, Coréia do Sul, Japão;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra;Perene
421;Hovenia dulcis;Uva-do-japão, Banana-do-japão, Bananinha-do-japão, Caju-do-japão, Caju-japonês, Cajueiro-japonês, Chico-magro, Gomari, Macaquinho, Mata-fome, Passa-do-japão, Passa-japonesa, Pau-doce, Pé-de-galinha, Tripa-de-galinha, Uva-da-china, Uva-japão, Uva-japonesa, Uva-paraguaia;Rhamnaceae;Árvores, Árvores Frutíferas;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Coréia do Norte, Coréia do Sul, Japão;6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
422;Howea forsteriana;Kentia, Palmeira-kentia, Palmeira-quência, Palma-do-paraíso;Arecaceae;Árvores, Palmeiras;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Austrália, Oceania;acima de 12 metros;Meia Sombra, Sol Pleno;Perene
423;Hoya carnosa;Flor-de-cera, Cerinha, Flor-de-porcelana;Apocynaceae;Trepadeiras;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Austrália, Oceania;3.6 a 4.7 metros;Luz Difusa, Meia Sombra;Perene
424;Hoya kerrii;Planta-coração, Cacto-coração, Flor-de-cera;Apocynaceae;Cactos e Suculentas, Folhagens, Trepadeiras;Equatorial, Mediterrâneo, Subtropical, Tropical;Ásia, Camboja, China, Indonésia, Java, Laos, Tailândia, Vietnã;2.4 a 3.0 metros;Luz Difusa, Meia Sombra;Perene
425;Hyacinthus orientalis;Jacinto, Hiacinto, Hiacinto-de-jardim, Jacinto-comum, Jacinto-de-jardim, Jacinto-holandês;Hyacinthaceae;Bulbosas;Continental, Mediterrâneo, Subtropical, Temperado;África, Ásia, Europa;0.1 a 0.3 metros;Sol Pleno;Perene
426;Hydrangea macrophylla;Hortênsia, Hidrângea, Hortência, Rosa-do-japão;Hydrangeaceae;Arbustos, Cercas Vivas, Flores Perenes;Mediterrâneo, Oceânico, Subtropical, Temperado;Ásia, China, Japão;0.9 a 1.2 metros;Sol Pleno;Perene
427;Hylocereus undatus;Rainha-da-noite, Cardo-ananaz, Cato-barse, Dama-da-noite, Flor-da-lua, Pitaia, Pitaia-vermelha, Pitaia-vermelha-de-polpa-branca;Cactaceae;Cactos e Suculentas, Frutas e Legumes, Plantas Hortícolas, Trepadeiras;Equatorial, Subtropical, Tropical;América Central, América do Norte, América do Sul, México;3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
428;Hyophorbe lagenicaulis;Palmeira-garrafa, ;Arecaceae;Palmeiras, Plantas Esculturais;Equatorial, Oceânico, Subtropical, Tropical;Ilhas Mascarenhas;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
429;Hyophorbe verschaffeltii;Palmeira-fuso, ;Arecaceae;Árvores, Palmeiras, Plantas Esculturais;Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;África, Ilhas Mascarenhas;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
430;Hypoestes phyllostachya;Confete, Face-sardenta;Acanthaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Oceânico, Subtropical, Tropical;África, Madagascar;0.3 a 0.4 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
431;Ilex paraguariensis;Erva-mate, Mate, Congonha, Erveira, Erva, Erva-verdadeira, Erva-congonha, Erva-chimarrão, Chá-dos-jesuítas, Chá-das-missões, Congonha-das-missões, Congonheira, Mate-legítimo, Mate-verdadeiro;Aquifoliaceae;Arbustos, Árvores, Árvores Ornamentais, Cercas Vivas;Subtropical, Temperado, Tropical;América do Sul, Argentina, Bolívia, Brasil, Chile, Paraguai, Uruguai;3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
432;Impatiens balsamina;Beijo-de-frade, Balsamina, Bálsamo-de-jardim, Ciúmes, Maravilha, Maria-sem-vergonha, Melindres, Não-me-toques, Papagaios, Suspiros;Balsaminaceae;Flores Anuais, Medicinal;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Anual
433;Impatiens hawkeri;Beijo-pintado, ;Balsaminaceae;Flores Anuais, Flores Perenes;Equatorial, Subtropical, Tropical;África;0.3 a 0.4 metros;Luz Difusa, Meia Sombra;Perene
434;Impatiens walleriana;Beijo-turco, Balsamina, Beijinho, Ciúmes, Impatiens, Maravilha, Maria-sem-vergonha;Balsaminaceae;Flores Anuais, Flores Perenes;Equatorial, Subtropical, Tropical;África, Moçambique, Quênia;0.1 a 0.3 metros, 0.3 a 0.4 metros;Luz Difusa, Meia Sombra;Perene
435;Ipomoea alba;Boa-noite, Bona-nox, Dama-da-noite;Convolvulaceae;Plantas Daninhas, Trepadeiras;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América Central, América do Sul;2.4 a 3.0 metros;Sol Pleno;Perene
436;Ipomoea cairica;Ipoméia, Campainha, Corda-de-viola, Corriola, Glória-da-manhã, Jetirana, Jitirana;Convolvulaceae;Plantas Daninhas, Trepadeiras;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América do Sul, Brasil;2.4 a 3.0 metros;Sol Pleno;Anual
437;Ipomoea carnea;Algodão-bravo, Algodão-de-pântano, Algodão-do-brejo, Algodoeiro-bravo, Campainha, Campainha-de-canudo, Canudo-de-lagoa, Canudo-de-pito, Capa-bode, Ipoméia-arbórea, Majorana, Mata-cabra, Mata-cobra, Mata-pinto, Salsa-branca, Salsão;Convolvulaceae;Arbustos, Arbustos Tropicais, Plantas Daninhas, Trepadeiras;Equatorial, Subtropical, Tropical;América do Sul, Brasil;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Sol Pleno;Perene
438;Ipomoea horsfalliae;Ipoméia-rubra, Glória-da-manhã, Trepadeira-cardeal;Convolvulaceae;Trepadeiras;Equatorial, Subtropical, Tropical;Indonésia;3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Meia Sombra, Sol Pleno;Perene
439;Ipomoea purpurea;Glória-da-manhã, Bom-dia, Bons-dias, Campainha, Corda-de-viola, Corriola, Jetirana;Convolvulaceae;Trepadeiras;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América Central, América do Norte, América do Sul;3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros;Meia Sombra, Sol Pleno;Anual
440;Ipomoea quamoclit;Esqueleto, Boa-tarde, Campainha, Campainha-vermelha, Cardeal, Cipó-esqueleto, Corda-de-viola, Corriola, Flor-de-cardeal, Primavera, Primavera-grande, Prímula;Convolvulaceae;Trepadeiras;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América Central, América do Sul;3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Anual
441;Iresine herbstii;Coração-magoado, Coração-de-maria, Iresine, Orelha-de-moleque;Amaranthaceae;Folhagens, Forrações à Meia Sombra, Forrações ao Sol Pleno;Equatorial, Subtropical, Tropical;América do Sul;0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Perene
442;Iris germanica;Íris, Flor-de-lis, Íris-barbado;Iridaceae;Bulbosas, Flores Perenes;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Europa;0.1 a 0.3 metros, 0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Perene
443;Iris japonica;Íris-japonesa, ;Iridaceae;Bulbosas, Flores, Flores Perenes;Continental, Mediterrâneo, Subtropical, Temperado;Ásia, China, Japão;0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Perene
444;Iris pseudacorus;Íris-amarelo, Bandeira-amarela, Flor-de-lis-amarela;Iridaceae;Bulbosas, Flores Perenes, Plantas Aquáticas, Plantas Daninhas, Plantas Palustres;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;África, Ásia, Europa;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
445;Iris sibirica;Flor-de-lis-da-sibéria, Íris-da-sibéria, Lírio-siberiano;Iridaceae;Bulbosas, Flores Perenes, Plantas Aquáticas, Plantas Palustres;Continental, Mediterrâneo, Subtropical, Temperado;Ásia, Sibéria;0.9 a 1.2 metros;Sol Pleno;Perene
446;Ixora chinensis;Ixora-chinesa, Alfinete-gigante, Ixora-vermelha, Ixória-chinesa;Rubiaceae;Arbustos, Arbustos Tropicais, Cercas Vivas, Flores Perenes;Equatorial, Oceânico, Subtropical, Tropical;Ásia, China, Malásia;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
447;Ixora coccinea;Ixora, Icsória, Ixora-coral, Ixória;Rubiaceae;Arbustos, Arbustos Tropicais, Cercas Vivas, Flores Perenes;Equatorial, Oceânico, Subtropical, Tropical;Indonésia, Malásia;0.9 a 1.2 metros;Sol Pleno;Perene
448;Jacaranda mimosifolia;Jacarandá-mimoso, Carobaguaçu, Jacarandá;Bignoniaceae;Árvores, Árvores Ornamentais;Continental, Mediterrâneo, Subtropical, Tropical;América do Sul, Argentina;acima de 12 metros;Sol Pleno;Perene
449;Jacquemontia pentanthos;Céu-azul, Aguinaldo-azul, Amarra-cachorro, Trepadeira-céu-azul;Convolvulaceae;Trepadeiras;Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;América Central, América do Norte, Estados Unidos, México;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Sol Pleno;Bienal, Perene
450;Jasminum azoricum;Jasmim-dos-açores, Jasmim-açoriano, Jasmim-branco, Jasmineiro-branco, Jasmim-do-rio;Oleaceae;Arbustos, Arbustos Tropicais, Trepadeiras;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Europa, Ilha da Madeira;1.8 a 2.4 metros;Meia Sombra, Sol Pleno;Perene
451;Jasminum mesnyi;Jasmim-amarelo, Jasmim-primulino;Oleaceae;Arbustos, Arbustos Tropicais, Cercas Vivas, Trepadeiras;Continental, Mediterrâneo, Oceânico, Subtropical, Tropical;Ásia, China;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
452;Jasminum nitidum;Jasmim-asa-de-anjo, Jasmim, Jasmim-estrela;Oleaceae;Arbustos, Cercas Vivas, Trepadeiras;Equatorial, Oceânico, Subtropical, Tropical;Arquipélago Bismarck, Nova Guiné;4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
453;Jasminum polyanthum;Jasmim-dos-poetas, Jasmim-de-inverno, Jasmim-rosa;Oleaceae;Trepadeiras;Mediterrâneo, Subtropical, Temperado;Ásia, China;3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
454;Jasminum sambac;Jasmim-árabe, Bogari, Jasmim-sambac, Mosqueta;Oleaceae;Arbustos, Cercas Vivas, Trepadeiras;Continental, Mediterrâneo, Oceânico, Subtropical, Tropical;Índia, Oriente Médio;2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
455;Jatropha multifida;Flor-de-coral, Bálsamo, Flor-coral, Planta-coral;Euphorbiaceae;Cactos e Suculentas;Equatorial, Mediterrâneo, Semi-árido, Tropical;América Central, América do Norte, México;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
456;Juncus effusus;Junco, Junco-solto;Juncaceae;Plantas Aquáticas, Plantas Marginais, Plantas Palustres;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;África, África do Sul, América do Norte, Ásia, Austrália, Europa, Nova Zelândia, Oceania;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros;Meia Sombra, Sol Pleno;Perene
457;Juniperus chinensis torulosa;Kaizuka, Caiazuka, Caizuca, Cipreste-kaizuka, Junípero-chinês, Kaiazuca;Cupressaceae;Arbustos, Árvores, Árvores Ornamentais, Cercas Vivas;Mediterrâneo, Oceânico, Subtropical, Temperado;Ásia, China, Japão;3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
458;Juniperus horizontalis;Tuia-jacaré, Pinheiro-rasteiro, Cedro-rasteiro, Cedro-jacaré, Jacaré, Junípero-rastejante;Cupressaceae;Arbustos, Bonsai, Forrações ao Sol Pleno, Gramados e Forrações, Plantas Esculturais;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado;América do Norte, Canadá, Estados Unidos;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros;Sol Pleno;Perene
459;Justicia aurea;Jacobínia-amarela, Jacobina-amarela, Pluma-dourada, Camarão-ouro, Justícia-amarela;Acanthaceae;Arbustos, Arbustos Tropicais;Equatorial, Tropical;América Central, América do Norte, Belize, Costa Rica, El Salvador, Honduras, México, Panamá;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra;Perene
460;Justicia brandegeana;Camarão-vermelho, Camarão;Acanthaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Oceânico, Subtropical, Tropical;América do Norte, México;0.6 a 0.9 metros;Luz Difusa, Meia Sombra;Perene
461;Justicia carnea;Jacobínia, Jacobina, Justícia, Justícia-rosa;Acanthaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Subtropical, Tropical;América do Sul;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Meia Sombra;Perene
462;Justicia scheidweileri;Camarão-rosa, ;Acanthaceae;Arbustos, Arbustos Tropicais, Flores, Flores Perenes, Folhagens, Forrações à Meia Sombra, Gramados e Forrações;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.3 a 0.4 metros, 0.4 a 0.6 metros;Meia Sombra;Perene
463;Kaempferia rotunda;Cananga-do-japão, Flor-da-ressureição, Ilangue-ilangue-da-terra, Lírio-misterioso;Zingiberaceae;Bulbosas, Flores Perenes, Folhagens, Forrações à Meia Sombra;Equatorial, Mediterrâneo, Subtropical, Tropical;Ásia;0.3 a 0.4 metros, 0.4 a 0.6 metros;Luz Difusa, Meia Sombra;Perene
464;Kalanchoe blossfeldiana;Calanchoê, Calancoê, Calandiva, Flor-da-fortuna, Flor-do-papai, Kalanchoê, Kalandiva;Crassulaceae;Cactos e Suculentas, Flores Perenes;Equatorial, Subtropical, Tropical;África, Madagascar;0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Perene
465;Kalanchoe daigremontiana;Mãe-de-milhares, Aranto, Calanchoê, Planta-chapéu-mexicano, Planta-jacaré, Espinha-do-diabo, Planta-panda, Planta-maternidade;Crassulaceae;Cactos e Suculentas, Folhagens, Medicinal, Plantas Tóxicas;Mediterrâneo, Semi-árido, Subtropical, Tropical;África, Madagascar;0.9 a 1.2 metros;Meia Sombra, Sol Pleno;Perene
466;Kalanchoe fedtschenkoi;Calanchoê-fantasma, Calanchoê;Crassulaceae;Cactos e Suculentas, Flores Perenes;Equatorial, Oceânico, Subtropical, Tropical;África, Madagascar;0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Perene
467;Kalanchoe tetraphylla;Orelha-de-elefante, ;Crassulaceae;Cactos e Suculentas, Folhagens;Equatorial, Mediterrâneo, Oceânico, Semi-árido, Subtropical, Tropical;África, África do Sul;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Bienal, Perene
468;Kalanchoe tomentosa;Orelha-de-gato, Planta-panda;Crassulaceae;Cactos e Suculentas, Folhagens;Continental, Equatorial, Mediterrâneo, Semi-árido, Subtropical, Tropical;África, Madagascar;0.3 a 0.4 metros, 0.4 a 0.6 metros;Luz Difusa, Meia Sombra;Perene
469;Kalmia latifolia;Louro-americano, Louro-da-montanha, Louro-da-serra, Pau-de-colher;Ericaceae;Arbustos, Cercas Vivas;Continental, Subtropical, Temperado, Tropical;América do Norte, Estados Unidos;2.4 a 3.0 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
470;Kerria japonica;Rosa-do-japão, Roseira-do-japão, Kerria, Querria, Rosa-japonesa;Rosaceae;Arbustos, Cercas Vivas;Mediterrâneo, Subtropical, Temperado;Ásia, China, Japão;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
471;Kniphofia uvaria;Lírio-tocha, Tritoma;Asphodelaceae;Bulbosas, Flores Perenes;Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;África, África do Sul;0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
472;Koelreuteria paniculata;Coreutéria, Coelreutéria, Árvore-da-chuva-dourada, Quereutéria, Saboeiro;Sapindaceae;Árvores, Árvores Ornamentais;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China, Coréia do Norte, Coréia do Sul, Japão;6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Sol Pleno;Perene
473;Kopsia fruticosa;Cópsia, Vinca-arbustiva, Gardênia-rosa;Apocynaceae;Arbustos, Cercas Vivas, Flores, Flores Perenes;Equatorial, Subtropical, Tropical;Ásia, Birmânia, Filipinas, Índia, Indonésia, Malásia, Oceania, Tailândia;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
